City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Ancud,CL,1599271536,-41.87,-73.82,39.99,91,100,5.75
1,Bluff,NZ,1599271755,-46.6,168.33,52.93,68,81,10.31
2,Castro,BR,1599271755,-24.79,-50.01,61.83,79,0,6.11
3,Punta Arenas,CL,1599271756,-53.15,-70.92,37.4,86,100,5.82
4,Vanimo,PG,1599271756,-2.67,141.3,81.23,77,100,3.91
5,Belmonte,BR,1599271756,-15.86,-38.88,71.6,83,20,3.36
6,Nome,US,1599271757,64.5,-165.41,46.4,75,75,16.11
7,Yellowknife,CA,1599271757,62.46,-114.35,53.6,54,40,5.82
8,Weare,US,1599271757,43.09,-71.73,64.0,64,8,5.99
9,Taltal,CL,1599271758,-25.4,-70.48,55.29,73,6,6.15
10,Puerto Ayora,EC,1599271758,-0.74,-90.35,66.99,89,71,1.99
11,Kuril'sk,RU,1599271758,45.23,147.88,65.89,82,94,7.16
12,Kalmunai,LK,1599271759,7.42,81.82,81.81,75,87,4.47
13,Busselton,AU,1599271759,-33.65,115.33,64.99,82,95,7.0
14,Mataura,NZ,1599271536,-46.19,168.86,58.01,48,71,7.0
15,Jamestown,US,1599271516,42.1,-79.24,61.0,71,1,5.82
16,Springfield,US,1599271760,37.22,-93.3,75.2,69,1,6.93
17,Russell,US,1599271761,32.35,-85.2,89.6,83,1,3.83
18,Lagoa,PT,1599271585,39.05,-27.98,69.39,74,25,21.12
19,Atuona,PF,1599271761,-9.8,-139.03,78.69,74,8,21.63
20,Mar del Plata,AR,1599271762,-38.0,-57.56,48.0,87,87,4.7
21,Severo-Kuril'sk,RU,1599271762,50.68,156.12,55.31,70,70,3.65
22,Rikitea,PF,1599271762,-23.12,-134.97,72.05,82,100,11.45
23,Port-Gentil,GA,1599271763,-0.72,8.78,75.02,85,100,16.78
24,Avarua,CK,1599271763,-21.21,-159.78,80.6,78,0,9.17
25,Longyearbyen,SJ,1599271763,78.22,15.64,42.8,100,75,4.7
26,Port Alfred,ZA,1599271586,-33.59,26.89,62.73,81,5,20.0
